Fecha,Hora,Temperatura (°C),Humedad (%)
2025-10-17,11:03:22,21.6,44.5
2025-10-17,11:03:24,21.6,44.4
2025-10-17,11:03:26,21.6,44.3
2025-10-17,11:03:28,21.6,44.3
2025-10-17,11:03:30,21.6,44.3
2025-10-17,11:03:33,21.6,44.4
2025-10-17,11:03:35,21.6,44.5
2025-10-17,11:03:37,21.6,44.7
2025-10-17,11:03:39,21.6,44.8
2025-10-17,11:03:41,21.6,44.9
2025-10-17,11:03:43,21.7,44.8
2025-10-17,11:03:46,21.6,45.0
2025-10-17,11:03:49,21.6,45.0
2025-10-17,11:03:51,21.6,44.8
2025-10-17,11:03:53,21.6,44.7
2025-10-17,11:03:56,21.6,44.6
2025-10-17,11:03:59,21.6,44.5
2025-10-17,11:04:01,21.6,44.3
2025-10-17,11:04:03,21.7,44.2
2025-10-17,11:04:06,21.6,44.1
2025-10-17,11:04:08,21.6,44.0
2025-10-17,11:04:10,21.7,44.0
2025-10-17,11:04:13,21.6,44.0
2025-10-17,11:04:15,21.6,43.9
2025-10-17,11:04:17,21.7,44.0
2025-10-17,11:04:20,21.7,44.1
2025-10-17,11:04:22,21.6,44.3
2025-10-17,11:04:24,21.7,44.4
2025-10-17,11:04:26,21.7,44.6
2025-10-17,11:04:28,21.6,44.7
2025-10-17,11:04:30,21.7,44.5
2025-10-17,11:04:33,21.7,44.5
2025-10-17,11:04:35,21.6,44.4
2025-10-17,11:04:37,21.6,44.3
2025-10-17,11:04:39,21.7,44.3
2025-10-17,11:04:42,21.7,44.2
2025-10-17,11:04:44,21.6,44.1
2025-10-17,11:04:46,21.6,44.0
2025-10-17,11:04:48,21.7,43.9
2025-10-17,11:04:51,21.6,43.8
2025-10-17,11:04:53,21.7,43.7
2025-10-17,11:04:55,21.7,43.7
2025-10-17,11:04:58,21.7,43.6
2025-10-17,11:05:00,21.7,43.6
2025-10-17,11:05:02,21.7,43.7
2025-10-17,11:05:04,21.7,43.7
2025-10-17,11:05:07,21.7,43.6
2025-10-17,11:05:09,21.7,43.7
2025-10-17,11:05:11,21.7,43.8
2025-10-17,11:05:13,21.7,43.9
2025-10-17,11:05:16,21.7,44.1
2025-10-17,11:05:18,21.6,44.2
2025-10-17,11:05:20,21.6,44.3
2025-10-17,11:05:22,21.7,44.3
2025-10-17,11:05:25,21.6,44.4
2025-10-17,11:05:27,21.7,44.3
2025-10-17,11:05:29,21.7,44.2
2025-10-17,11:05:31,21.7,44.1
2025-10-17,11:05:34,21.6,43.9
2025-10-17,11:05:36,21.7,44.0
2025-10-17,11:05:38,21.7,44.0
2025-10-17,11:05:40,21.7,44.2
2025-10-17,11:05:42,21.7,44.3
2025-10-17,11:05:45,21.7,44.3
2025-10-17,11:05:47,21.7,44.3
2025-10-17,11:05:50,21.7,44.1
2025-10-17,11:05:52,21.7,44.1
2025-10-17,11:05:54,21.7,44.0
2025-10-17,11:05:56,21.6,43.8
2025-10-17,11:05:59,21.7,43.7
2025-10-17,11:06:01,21.7,43.6
2025-10-17,11:06:03,21.7,43.6
2025-10-17,11:06:06,21.7,43.6
2025-10-17,11:06:08,21.7,43.7
2025-10-17,11:06:10,21.7,43.8
2025-10-17,11:06:13,21.7,43.8
2025-10-17,11:06:15,21.7,43.9
